"numero","id_bling","dataVenda","dataPedido","qtde_itens","custo","totalVenda","taxaLoja","CMV"
"44177","21616451368","2024-11-21","2024-11-21","1","0.32","2.5","0","12.79"
"43340","21464666555","2024-11-01","2024-11-01","1","5.00","5","0","100"
"43492","21486924294","2024-11-05","2024-11-05","0","1.00","5","0","20"
"43639","21514692168","2024-11-08","2024-11-08","1","1.05","5","0","20.99"
"43651","21517335823","2024-11-08","2024-11-08","1","0.92","5","0","18.4"
"43663","21518355063","2024-11-08","2024-11-08","0","1.41","5","0","28.19"
"43969","21577464947","2024-11-16","2024-11-16","1","1.41","5","0","28.19"
"44215","21624266831","2024-11-22","2024-11-22","1","1.55","5","0","30.99"
"44248","21629024675","2024-11-23","2024-11-23","1","1.93","5","0","38.59"
"44178","21616487955","2024-11-21","2024-11-21","1","3.18","7","0","45.42"
"43689","21522557993","2024-11-09","2024-11-09","0","2.11","8","0","26.37"
"44169","21615192634","2024-11-21","2024-11-21","1","3.60","8","0","44.99"
"43836","21550950848","2024-11-12","2024-11-12","1","3.03","9","0","33.66"
"43449","21478976616","2024-11-04","2024-11-04","3","2.52","9.5","0","8.84"
"43686","21522435841","2024-11-09","2024-11-09","0","0.59","10","0","23.59"
"43690","21522591687","2024-11-09","2024-11-09","2","2.41","10","0","12.04"
"43966","21577214952","2024-11-16","2024-11-16","3","2.85","10","0","9.49"
"44220","21624656032","2024-11-22","2024-11-22","1","1.41","10","0","28.19"
"43710","21525452586","2024-11-10","2024-11-10","1","3.13","11.06","67.2","28.27"
"43332","21464145076","2024-11-01","2024-11-01","1","3.80","12","0","31.66"
"43321","21462634962","2024-11-01","2024-11-01","4","3.29","13","0","6.32"
"43610","21510713389","2024-11-07","2024-11-07","0","4.32","13.39","49.85","32.23"
"43683","21522080985","2024-11-09","2024-11-09","0","6.17","14","0","44.07"
"43864","21557357769","2024-11-13","2024-11-13","1","8.70","14","0","62.14"
"43823","21546976419","2024-11-12","2024-11-12","1","5.94","14.65","47.33","40.51"
"44097","21602824895","2024-11-19","2024-11-19","1","9.11","14.96","40.07","60.89"
"43866","21557575371","2024-11-13","2024-11-13","2","4.80","15","0","42.36"
"43711","21525787177","2024-11-10","2024-11-10","1","5.37","15.59","49.96","34.44"
"43733","21529256432","2024-11-10","2024-11-10","1","5.37","15.59","49.96","34.44"
"43845","21552913582","2024-11-12","2024-11-12","1","5.37","15.59","49.96","34.44"
"44026","21590758903","2024-11-18","2024-11-18","1","14.23","17.89","34.33","79.49"
"43561","21500020314","2024-11-06","2024-11-06","0","4.32","18","0","24"
"43665","21518569435","2024-11-08","2024-11-08","1","8.87","18","0","49.27"
"44076","21600728120","2024-11-19","2024-11-19","1","3.03","18","0","33.66"
"44243","21628748592","2024-11-23","2024-11-23","1","7.42","18","0","41.22"
"44250","21629215411","2024-11-23","2024-11-23","1","8.87","18","0","49.27"
"44101","21603300920","2024-11-19","2024-11-19","1","7.91","18.5","41.67","42.75"
"44255","21630087114","2024-11-23","2024-11-23","1","5.60","18.87","41.07","29.66"
"43330","21463965977","2024-11-01","2024-11-01","1","9.17","18.89","0","48.51"
"43494","21487022309","2024-11-05","2024-11-05","0","5.60","18.98","41.07","29.48"
"43910","21568996512","2024-11-14","2024-11-14","1","5.60","18.98","41.07","29.48"
"43950","21574624402","2024-11-15","2024-11-15","0","5.60","18.98","41.07","29.48"
"44044","21593781694","2024-11-18","2024-11-18","1","5.60","18.98","41.07","29.48"
"44055","21596397661","2024-11-19","2024-11-19","1","5.60","18.98","41.07","29.48"
"44100","21603115023","2024-11-19","2024-11-19","1","5.60","18.98","41.07","29.48"
"44173","21615513056","2024-11-21","2024-11-21","1","5.60","18.98","41.07","29.48"
"44113","21605473049","2024-11-20","2024-11-20","1","9.11","19.34","40.07","47.1"
"43739","21530417702","2024-11-11","2024-11-11","1","9.11","19.56","40.07","46.55"
"43809","21542673300","2024-11-11","2024-11-11","1","9.11","19.82","40.07","45.94"
"43999","21580927977","2024-11-17","2024-11-17","1","9.11","19.84","40.07","45.91"
"43693","21523139452","2024-11-09","2024-11-09","0","10.99","19.89","0","55.22"
"43409","21471308656","2024-11-03","2024-11-03","0","9.11","19.94","40.07","45.68"
"43436","21474537697","2024-11-04","2024-11-04","0","9.11","19.94","40.07","45.68"
